,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส.ค.-09,126.8,28,176.0172509,23.76,33.2,9.44,2553.760383,191.7,28,108.505348,23.56,33.53,9.97,2553.760383,,,,,,,,0.260521076,0.542450513,6.99,0.693192312,-0.031056365,-0.79046826,1.586197992,,,,,,,,,,,,,,,
ก.ย.-09,191.7,28,108.505348,23.56,33.53,9.97,2553.760383,223.4,27.4,88.24470256,22.73,32.96,10.23,2553.760383,,,,,,,,0.887001145,0.542450513,3.92,0.632371929,0.118826952,-0.61203592,1.586197992,,,,,,,,,,,,,,,
ต.ค.-09,223.4,27.4,88.24470256,22.73,32.96,10.23,2553.760383,0,25.1,81.47063688,18.89,32.01,13.12,2553.760383,,,,,,,,1.193001425,0.294141227,3.8,0.37996734,-0.140062413,-0.524503074,1.586197992,,,,,,,,,,,,,,,
พ.ย.-09,0,25.1,81.47063688,18.89,32.01,13.12,2553.760383,7.5,22.5,26.95173434,15.77,30.14,14.37,2553.760383,,,,,,,,-0.963480046,-0.657711036,4.17,-0.787784013,-0.571544689,0.448458176,1.586197992,,,,,,,,,,,,,,,
ธ.ค.-09,7.5,22.5,26.95173434,15.77,30.14,14.37,2553.760383,21.7,24.2,26.93670303,17.49,31.73,14.25,1098.4062,,,,,,,,-0.891082503,-1.733717943,1.41,-1.736581986,-1.420883483,0.869289166,1.586197992,,,,,,,,,,,,,,,
ม.ค.-10,21.7,24.2,26.93670303,17.49,31.73,14.25,1098.4062,0,24.5,18.36489953,15.7,34.06,18.36,1098.4062,,,,,,,,-0.754009823,-1.030174966,1.29,-1.213526693,-0.698718412,0.828889391,-0.061007615,,,,,,,,,,,,,,,
ก.พ.-10,0,24.5,18.36489953,15.7,34.06,18.36,1098.4062,4.3,27.8,26.93480675,20.56,35.85,15.3,1098.4062,,,,,,,,-0.963480046,-0.906020323,0.86,-1.75786912,0.359548642,2.212581686,-0.061007615,,,,,,,,,,,,,,,
มี.ค.-10,4.3,27.8,26.93480675,20.56,35.85,15.3,1098.4062,3.9,31.6,27.5533034,24.04,38.98,14.94,1098.4062,,,,,,,,-0.921972122,0.459680751,1.04,-0.279933815,1.172552086,1.182387422,-0.061007615,,,,,,,,,,,,,,,
เม.ย.-10,3.9,31.6,27.5533034,24.04,38.98,14.94,1098.4062,46.4,31.4,96.60518379,25.89,38.01,12.11,1098.4062,,,,,,,,-0.925833324,2.032306229,1.35,0.778340848,2.594172635,1.061188097,-0.061007615,,,,,,,,,,,,,,,
พ.ค.-10,46.4,31.4,96.60518379,25.89,38.01,12.11,1098.4062,122.7,29.7,320.7434895,24.9,35.94,11.03,1098.4062,,,,,,,,-0.515580582,1.949536467,4.4,1.34092939,2.153606522,0.108426735,-0.061007615,,,,,,,,,,,,,,,
