,,,,,,,,,,,,,,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor
275.6,27.5,17.12449145,23.65294118,32.16666667,8.51372549,2.8648322,1.5,,,,,,,,1.835667532,-0.573970822,171.2449145,0.665053356,-0.471561597,-1.089904942,-0.409441809
123.4,26.2,5.224490972,22.172,30.93703704,8.765037037,2.8648322,2.8,,,,,,,,0.276869327,0.042745137,52.24490972,0.218492368,-1.021313567,-1.005891853,-0.409441809
85.4,26.4,1.860527646,21.908,32.5,10.592,2.8648322,2.6,,,,,,,,-0.112318136,-0.052134242,18.60527646,0.138886167,-0.32253245,-0.395140762,-0.409441809
26.8,21.1,0.899880496,15.55185185,27.16,11.60814815,2.8648322,7.9,,,,,,,,-0.712486171,2.462169283,8.99880496,-1.777738095,-2.709979408,-0.055443897,-0.409441809
0,21.3,0.23982929,14.32916667,29.06538462,14.73621795,12.81596773,7.7,,,,,,,,-0.98696575,2.367289905,2.3982929,-2.14642492,-1.858105866,0.990265338,2.360731269
0,24.3,0.179815689,16.53478261,33.145,16.61021739,12.81596773,4.7,,,,,,,,-0.98696575,0.94409923,1.79815689,-1.481346492,-0.034161048,1.616740655,2.360731269
5.9,27.7,0,19.5,36.564,17.064,12.81596773,1.3,,,,,,,,-0.926539275,-0.668850201,0,-0.587218875,1.494430928,1.768439529,2.360731269
34.9,29.6,0,23.77272727,37.2375,13.46477273,12.81596773,0.6,,,,,,,,-0.62952779,-1.000928025,0,0.70117349,1.795544322,0.565223029,2.360731269
236.1,29.1,0.299474721,24.50952381,35.92857143,11.41904762,12.81596773,0.1,,,,,,,,1.431117407,-1.23812647,2.99474721,0.923346116,1.210338792,-0.118659933,2.360731269
58.2,28.8,1.61647705,25.06153846,33.784,8.722461538,12.81596773,0.2,,,,,,,,-0.390894425,-1.190686781,16.1647705,1.089799863,0.25152783,-1.020124781,2.360731269
175.2,28,1.73526654,24.78181818,32.412,7.630181818,12.81596773,1,,,,,,,,0.807393289,-0.811169268,17.3526654,1.00545339,-0.361876145,-1.385272321,2.360731269
231.3,27.5,1.852608832,24.292,32.70952381,8.41752381,12.81596773,1.5,,,,,,,,1.381956885,-0.573970822,18.52608832,0.857754283,-0.228856985,-1.122065025,2.360731269
177.5,27.6,2.447353545,24.09,32.868,8.778,12.81596773,1.4,,,,,,,,0.830949372,-0.621410512,24.47353545,0.796843478,-0.15800427,-1.001558353,2.360731269
129.3,27.3,0.954378899,22.81481481,32.51818182,9.703367003,12.81596773,1.7,,,,,,,,0.337295801,-0.479091444,9.54378899,0.412325871,-0.314403587,-0.692209495,2.360731269
16,25.8,0.476923178,20.808,31.81428571,11.00628571,12.81596773,3.2,,,,,,,,-0.823097344,0.232503893,4.76923178,-0.192806336,-0.6291067,-0.256645645,2.360731269
0,23.5,0.178754013,17.23636364,29.41818182,12.18181818,12.81596773,5.5,,,,,,,,-0.98696575,1.323616744,1.78754013,-1.269792703,-1.700374667,0.136333169,2.360731269
78.9,22.3,0.119118665,16.27826087,28.85925926,12.58099839,0.831740146,6.7,,,,,,,,-0.178889676,1.892893013,1.19118665,-1.558697708,-1.950261926,0.269778539,-0.975409066
0,24.4,0.119058745,16.51666667,32.7,16.18333333,0.831740146,4.6,,,,,,,,-0.98696575,0.896659541,1.19058745,-1.486809147,-0.233114961,1.474033928,-0.975409066
